Isamaru, Hound of Konda 0.71
Kabuto Moth 0.9
Kami of Ancient Law 0.7
Kami of Old Stone 0.6
Kami of the Painted Road 0.5+CountBy(SubType,Acane,0.04)+CountBy(SubType,Spirit,0.04)
Kami of the Palace Fields 0.55
Kitsune Blademaster 0.8
Kitsune Diviner 0.65
Kitsune Healer 0.6
Kitsune Mystic 0.6+2*CountBy(Type,"Enchant Creature",0.04)
Kitsune Riftwalker 0.7
Konda, Lord of Eiganjo 0.9
Konda's Hatamoto 0.5
Lantern Kami 0.6
Masako the Humorless 0.8
Mothrider Samurai 0.7
Myojin of Cleansing Fire 0.9
Nagao, Bound by Honor 0.8+CountBy(Subtype,"Samurai",0.1)
Otherworldly Journey 0.7
Pious Kitsune 0.3
Quiet Purity 0.5+CountBy(Subtype,Arcane,0.04)
Reciprocate 0.8
Reverse the Sands 0.4
Samurai Enforcers 0.55
Samurai of the Pale Curtain 0.75
Sensei Golden-Tail 0.9
Silent-Chant Zubera 0.3
Takeno, Samurai General 0.7+0*CountBy(Subtype,Samurai,0.03)
Terashi's Cry 0.5
Vassal's Duty 0.3
Vigilance 0.1
Yosei, the Morning Star 1.1

; Blue

Aura of Dominion 0.2
Azami, Lady of Scrolls 0.9
Callous Deceiver 0.5
Consuming Vortex 0.7
Counsel of the Soratami 0.5+4*CountBy(KnowledgeType,Removal,0.01)
Cut the Tethers 0.3
Dampen Thought 0.2
Eerie Procession 0.4
Eye of Nowhere 0.6
Field of Reality 0.2
Floating-Dream Zubera 0.8
Gifts Ungiven 0.5
Graceful Adept 0.5
Guardian of Solitude 0.4+CountBy(Name,"Student of Elements",0.1)
Hinder 0.6
Hisoka, Minamo Sensei 0.5
Hisoka's Defiance 0.5
Hisoka's Guard 0.6
Honden of Seeing Winds 0.9
Jushi Apprentice 0.9
Kami of Twisted Reflection 0.5
Keiga, the Tide Star 1.3
Lifted by Clouds 0.5+CountBy(Name,"Student of Elements",0.1)
Meloku the Clouded Mirror 1.5
Myojin of Seeing Winds 0.8
Mystic Restraints 0.75
Part the Veil 0.4
Peer Through Depths 0.5
Petals of Insight 0.5
Psychic Puppetry 0.4
Reach Through Mists 0.6+CountBy(SubType,Acane,0.01)
Reweave 0.4
River Kaijin 0.65
Sift Through Sands 0.5
Sire of the Storm 0.7
Soratami Cloudskater 0.65
Soratami Mirror-guard 0.71
Soratami Mirror-Mage 0.7
Soratami Rainshaper 0.7
Soratami Savant 0.8
Soratami Seer 0.8
Squelch 0.4
Student of Elements 0.5
Swirl the Mists 0.2
Teller of Tales 0.8
Thoughtbind 0.5
Time Stop 0.5
The Unspeakable 0.6
Uyo, Silent Prophet 1.0
Wandering Ones 0.1

; Black

Ashen-Skin Zubera 0.6
Befoul 0.75
Blood Speaker 0.4+4*CountBy(SubType,Demon,0.04)
Bloodthirsty Ogre 0.5
Cranial Extraction 1.0
Cruel Deceiver 0.7
Cursed Ronin 0.6
Dance of Shadows 0.5
Deathcurse Ogre 0.2
Devouring Greed 0.9+CountBy(SubType,Spirit,0.1)
Distress 0.6
Gibbering Kami 0.7
Gutwrencher Oni 0.8
He Who Hungers 0.9
Hideous Laughter 0.6
Honden of Night's Reach 0.7
Horobi, Death's Wail 0.9
Iname, Death Aspect 0.6
Kami of Lunacy 0.6
Kami of the Waning Moon 0.6
Kiku, Night's Flower 1.0
Kokusho, the Evening Star 1.3
Kuro, Pitlord 0.4
Marrow-Gnawer 0.6
Midnight Covenant 0.4
Myojin of Night's Reach 0.7
Nezumi Bone-Reader 0.5
Nezumi Cutthroat 0.8
Nezumi Graverobber 0.82
Nezumi Ronin 0.65
Nezumi Shortfang 1.0
Night Dealings 0.7
Night of Souls' Betrayal 0.5
Numai Outcast 0.5
Oni Possession 0.5
Painwracker Oni 0.73+CountBy(SubType,Ogre,0.04)
Pull Under 0.65
Rag Dealer 0.3
Ragged Veins 0.3
Rend Flesh 0.8
Rend Spirit 0.7
Scuttling Death 0.6+2*CountBy(SubType,Spirit,0.02)
Seizan, Perverter of Truth 0.9
Soulless Revival 0.6
Struggle for Sanity 0.8
Swallowing Plague 0.8
Thief of Hope 0.8+CountBy(SubType,Arcane,0.04)+CountBy(SubType,Spirit,0.04)
Villainous Ogre 0.7+2*CountBy(SubType,Demon,0.04)
Waking Nightmare 0.6+CountBy(SubType,Acane,0.01)
Wicked Akuba 0.71

; Red

Akki Avalanchers 0.45
Akki Coalflinger 0.8
Akki Lavarunner 0.7
Akki Rockspeaker 0.1
Akki Underminer 0.5
Battle-Mad Ronin 0.5
Ben-Ben, Akki Hermit 0.8
Blind With Anger 0.9
Blood Rites 0.8
Brothers Yamazaki 0.5
Brutal Deceiver 0.6
Crushing Pain 0.5
Desperate Ritual 0.3
Devouring Rage 0.8
Earthshaker 0.8
Ember-Fist Zubera 0.7
Frostwielder 0.65
Glacial Ray 0.8
Godo, Bandit Warlord 0.7
Hanabi Blast 0.81
Hearth Kami 0.7
Honden of Infinite Rage 0.7
Initiate of Blood 0.8
Kami of Fire's Roar 0.7
Kiki-Jiki, Mirror Breaker 1.0
Kumano, Master Yamabushi 1.3
Kumano's Pupils 0.5
Lava Spike 0.45
Mana Seism 0.3
Mindblaze 0.8
Myojin of Infinite Rage 0.5
Ore Gorger 0.1
Pain Kami 0.7
Ronin Houndmaster 0.7
Ryusei, the Falling Star 1.3
Shimatsu the Bloodcloaked 0.4
Sideswipe 0.5
Sokenzan Bruiser 0.5+CountBy(SubType,Demon,0.04)
Soul of Magma 0.5
Soulblast 0.6
Stone Rain 0.2
Strange Inversion 0.2
Through the Breach 0.3
Tide of War 0.3
Uncontrollable Anger 0.6
Unearthly Blizzard 0.6
Unnatural Speed 0.1
Yamabushi's Flame 0.8
Yamabushi's Storm 0.5
Zo-Zu the Punisher 0.6

; Green

Azusa, Lost but Seeking 0.5
Budoka Gardener 0.8
Burr Grafter 0.7
Commune With Nature 0.6
Dosan the Falling Leaf 0.6
Dripping-Tongue Zubera 0.55
Feast of Worms 0.2
Feral Deceiver 0.7
Gale Force 0.5
Glimpse of Nature 0.5
Hana Kami 0.4
Heartbeat of Spring 0.1
Honden of Life's Web 0.8
Humble Budoka 0.6
Iname, Life Aspect 0.9
Joyous Respite 0.4
Jugan, the Rising Star 1.1
Jukai Messenger 0.4
Kami of the Hunt 0.74
Kashi-tribe Reaver 0.7
Kashi-Tribe Warriors 0.5
Kodama of the North Tree 0.8
Kodama of the South Tree 0.9
Kodama's Might 0.75
Kodama's Reach 0.7
Lure 0.4
Matsu-Tribe Decoy 0.7
Moss Kami 0.65
Myojin of Life's Web 0.6
Nature's Will 0.2
Orbweaver Kumo 0.5
Order of the Sacred Bell 0.7
Orochi Eggwatcher 0.8
Orochi Leafcaller 0.6
Orochi Ranger 0.6
Orochi Sustainer 0.7
Rootrunner 0.7
Sachi, Daughter of Seshiro 0.6+CountBy(SubType,Snake,0.03)+CountBy(SubType,Shaman,0.03)
Sakura-Tribe Elder 0.8
Serpent Skin 0.6
Seshiro the Anointed 0.9
Shisato, Whispering Hunter 0.5+CountBy(SubType,Snake,0.03)
Soilshaper 0.5
Sosuke, Son of Seshiro 0.8
Strength of Cedars 0.8
Thousand-Legged Kami 0.7
Time of Need 0.5+3*CountBy(Type,Legendary,0.01)
Venerable Kumo 0.5
Vine Kami 0.5
Wear Away 0.5

; Artifacts

General's Kabuto 0.5
Hair-Strung Koto 0.4
Hankyu 0.5
Honor-Worn Shaku 0.5
Imi Statue 0.3
Jade Idol 0.5
Journeyer's Kite 0.6
Junkyo Bell 0.3
Konda's Banner 0.5
Kusari-Gama 0.7
Long-Forgotten Gohei 1.1
Moonring Mirror 0.9
Nine-Ringed Bo 0.8
No-Dachi 0.7
Oathkeeper, Takeno's Daisho 0.9+CountBy(SubType,Samurai,0.1)
Orochi Hatchery 0.5
Reito Lantern 0.1
Sensei's Divining Top 0.5
Shell of the Last Kappa 0.4
Tatsumasa the Dragon Fang 1.1
Tenza, Godo's Maul 0.8+CountBy(Type,Legendary,0.03)
Uba Mask 0.2

; Land

Boseiju, Who Shelters All 0.4
Cloudcrest Lake 0.5
Eiganjo Castle 0.5+CountBy(SubType,Snake,0.01)
Forbidden Orchard 0.3
Hall of the Bandit Lord 0.4
Lantern-Lit Graveyard 0.5
Minamo, School at Water's Edge 0.5
Okina, Temple to the Grandfathers 0.5
Pinecrest Ridge 0.5
Shinka, the Bloodsoaked Keep 0.5
Shizo, Death's Storehouse 0.5
Tranquil Garden 0.5
Untaidake, the Cloud Keeper 0.3
Waterveil Cavern 0.5
